No,Question,Option 1,Option 2,Option 3,Option 4,Correct,Explanation
60,क्रिया के संबंध में असंगत युग्म का चयन कीजिए- wen,मेने अपने भाई को सलाह दी - द्विकर्मक क्रिया - NTA,"बिछड़ने पर गीता के आँसू छलछलां गएऐँ'- पूर्वकालिकं क्रियां ""+ '",लिखना भी एक साधना है। - क्रियार्थक संज्ञा,वह खेलते हुए गिर गया - कृदंत क्रिया 2 बिछड्ने पर गीता के आँसू छलछला गए - नामधातु क्रिया है।,2,
61,"माता बच्चे को दूध पिलाती है, वाक्य में प्रयुक्त गौण कर्म है-",बच्चा,दूध,माता,कोई नहीं।,1,
62,किस वाक्य में पूर्वकालिक क्रिया का उदाहरण नहीं है-,सीता गीता से भोजन बनवाकर घर लौट गई।,सुरेश पानी पीकर मैदान में खेलने चला गया।,श्याम जब तक घर पहुँचा तब तक वर्षा होती रही।,वह दौड़ते-दौड़ते हाँफकर गिर गया।,3,
63,किस वाक्य में सकर्मक क्रिया का उदाहरण नहीं है-,सुरेश छत पर विचरण करता है।,अमृता पत्र लिखती है।,माँ ने बेटी को नई साड़ी दी।,चिड़िया घोंसले में अंडा देती है।,1,
64,"किस वाक्य में ""संयुक्त क्रिया' का प्रयोग नहीं हुआ है-",बादलों के कारण सूरज नहीं दिखाई दिया।,न्यायाधीश सजा सुनाकर चले गए।,मेरे जाने से पहले बस रवाना हो चुकी थी।,वह सारा खाना खा गया।,2,न्यायाधीश सजा सुनाकर चले गए - पूर्वकालिक क्रिया।
65,कौन-सा एक कथन सही नहीं है-,प्रेरणार्थक क्रियाएँ सदैव सकर्मक होती हैं।,कर्मवाच्य में अकर्मक व सकर्मक दोनों तरह की क्रियाएँ होती हैं।,‘भाववाच्य’ में सदैव अकर्मक क्रिया होती है।,कर्तृवाच्य में अकर्मक व सकर्मक दोनों क्रियाएँ हो सकती हैं।,2,
66,प्रेरणार्थक क्रिया किस विकल्प में नहीं है-,मोहन सुरेश को शिक्षक से दंड दिलवाता है।,रमेश कुम्हार से घड़ा बनवाता है।,बच्चा घर जाना चाहता है।,राजू किरण से पत्र लिखवाता है।,3,
67,निम्नलिखित में से किस वाक्य में प्रेरणार्थक क्रिया का प्रयोग नहीं हुआ है-,लड़के ने कपड़ा सिलवाया है।,किसान नौकर से पक्षियों को उड़वाता है।,कारीगर घर गिरवाता है।,किसान ने चोर को बड़ी मार मारी।,4,"° किसान ने चोर को बड़ी मार मारी, यह सजातीय क्रिया है। ° सजातीय क्रिया - ऐसी क्रियाएँ जहाँ कर्म तथा क्रिया दोनों एक ही धातु से बनकर प्रयुक्त हो रहे हों। यथा - सरदारों ने लड़ाई लड़ी । यहाँ पर 'लड़ाई' कर्म भी है एव 'सजातीय क्रिया' भी।"
68,किस विकल्प में अकर्मक क्रिया का प्रयोग हुआ है-,राजा ने दान दिया।,वृक्ष हिल रहा है।,शिक्षक ने गृहकार्य दिया।,पण्डित कथा सुनाते हैं।,2,"ह - 4%. ""हिल रहा है' क्रिया किसी कर्म की अपेक्षा नहीं करती, अतः यह अकर्मक क्रिया है। “ ."
69,किस वाक्य में क्रिया अकर्मक रूप में प्रयुक्त हुई है-,हमारा जी ललचाता है।,नानी ने हमें मिठाई दी।,विपदा मुझे घबराती है।,मदारी बंदर को नचवाता है।,1,
70,‘वह लजा रही है’ किस क्रिया का रूप है-,पूर्वकालिक क्रिया,सकर्मक क्रिया,कृदन्त क्रिया,अकर्मक क्रिया,4,
71,किस वाक्य में अनुकरणात्मक क्रिया का उदाहरण है-,बिलबिलाना,अपनाना,ललचाना,शरमाना,1,
72,निम्नलिखित वाक्यों में सकर्मक क्रिया नहीं है-,मैं घड़ा भरता हूँ।,वह तुम्हें लजा रही है।,बूँद-बूँद करके तालाब भरता है।,मेरे पाँव खुजलाते हैं।,3,
73,"वह विद्यालय से आकर सो गया, उक्त वाक्य में क्रिया है-",प्रेरणार्थक क्रिया,सजातीय क्रिया,पूर्वकालिक क्रिया,कृदन्त क्रिया,3,
74,किस वाक्य में प्रेरणार्थक क्रिया का प्रयोग नहीं हुआ है-,पंडित शिष्य से श्रोताओं को कथा सुनवाते हैं।,कारीगर नौकर से घर गिरवाता है।,पानी के बिना धान सूख रहे हैं।,बच्चे को रोटी खिलवाओ।,3,
75,क्रिया के संबंध में असंगत युग्म है-,बस चली = अकर्मक क्रिया,मैं तुम्हें उपाय बतलाता हूँ - द्विकर्मक क्रिया,मुझे पढ़ना अच्छा लगता है - रंजक क्रिया,पक्षी अनोखी बोली बोलते हैं - सजातीय क्रिया,3,
